task_id,episode_id,policy_family,prefix_cutoff,prefix_index,baseline_metric,judge_metric,sparse_reward_signal,judge_signal,success_label,prefix_failure_label,prefix_recoverability_label,judge_on_track_score,judge_implausibility_score,judge_uncertainty_score,baseline_vs_judge_gap,latent_mismatch_score,latent_alignment_score,progress_proxy,distance_progress,target_distance_last,target_distance_best,in_place_score,grasp_signal_peak,success_signal_peak,reward_density,stall_score
reach-v3,reach-v3-expert-ep-0,expert,0.25,18,1.0,0.23236,0.0,0.23236,False,False,at_risk,0.199356,0.327371,0.632959,-0.76764,0.028384,0.971616,0.0,0.0,0.420439,0.257694,0.143987,1.0,0.0,0.899919,1.0
reach-v3,reach-v3-expert-ep-0,expert,0.5,37,1.0,0.414919,0.0,0.414919,False,True,doomed,0.196927,0.389608,0.582757,-0.585081,0.011395,0.988605,0.0,0.0,0.481055,0.257694,0.143987,1.0,0.0,0.642558,1.0
reach-v3,reach-v3-expert-ep-0,expert,0.75,56,1.0,0.562125,0.0,0.562125,False,True,doomed,0.195698,0.403751,0.549888,-0.437875,0.001322,0.998678,0.0,0.0,0.486959,0.257694,0.143987,1.0,0.0,0.549994,1.0
reach-v3,reach-v3-expert-ep-1,expert,0.25,18,1.0,0.196216,0.0,0.196216,False,False,at_risk,0.204333,0.282239,0.647606,-0.803784,0.028389,0.971611,0.0,0.0,0.401047,0.276566,0.160378,1.0,0.0,1.15606,1.0
reach-v3,reach-v3-expert-ep-1,expert,0.5,37,1.0,0.370371,0.0,0.370371,False,True,doomed,0.20723,0.326651,0.598133,-0.629629,0.011396,0.988604,0.0,0.0,0.453759,0.276566,0.160378,1.0,0.0,0.868184,1.0
reach-v3,reach-v3-expert-ep-1,expert,0.75,56,1.0,0.517098,0.0,0.517098,False,True,doomed,0.205236,0.342403,0.565162,-0.482902,0.001322,0.998678,0.0,0.0,0.458266,0.276566,0.160378,1.0,0.0,0.763726,1.0
reach-v3,reach-v3-expert-ep-2,expert,0.25,18,1.0,0.202341,0.0,0.202341,False,False,at_risk,0.206738,0.289585,0.643874,-0.797659,0.028389,0.971611,0.0,0.0,0.433791,0.29277,0.149368,1.0,0.0,1.045201,1.0
reach-v3,reach-v3-expert-ep-2,expert,0.5,37,1.0,0.382182,0.0,0.382182,False,True,doomed,0.205772,0.346032,0.594086,-0.617818,0.011396,0.988604,0.0,0.0,0.49018,0.29277,0.149368,1.0,0.0,0.782189,1.0
reach-v3,reach-v3-expert-ep-2,expert,0.75,56,1.0,0.529128,0.0,0.529128,False,True,doomed,0.204266,0.360457,0.561286,-0.470872,0.001323,0.998677,0.0,0.0,0.495152,0.29277,0.149368,1.0,0.0,0.686591,1.0
reach-v3,reach-v3-expert-ep-3,expert,0.25,18,1.0,0.194212,0.0,0.194212,False,False,at_risk,0.206702,0.281473,0.647911,-0.805788,0.028388,0.971612,0.0,0.0,0.431899,0.301097,0.151018,1.0,0.0,1.098271,1.0
reach-v3,reach-v3-expert-ep-3,expert,0.5,37,1.0,0.371244,0.0,0.371244,False,True,doomed,0.208213,0.331,0.598171,-0.628756,0.011395,0.988605,0.0,0.0,0.487623,0.301097,0.151018,1.0,0.0,0.83305,1.0
reach-v3,reach-v3-expert-ep-3,expert,0.75,56,1.0,0.518111,0.0,0.518111,False,True,doomed,0.206598,0.345604,0.565381,-0.481889,0.001322,0.998678,0.0,0.0,0.492223,0.301097,0.151018,1.0,0.0,0.735721,1.0
reach-v3,reach-v3-expert-ep-4,expert,0.25,18,1.0,0.254768,0.0,0.254768,False,False,at_risk,0.190025,0.360562,0.627094,-0.745232,0.02839,0.97161,0.0,0.0,0.408317,0.236391,0.133333,1.0,0.0,0.772134,1.0
reach-v3,reach-v3-expert-ep-4,expert,0.5,37,1.0,0.435895,0.0,0.435895,False,True,doomed,0.188784,0.418884,0.57745,-0.564105,0.011395,0.988605,0.0,0.0,0.469599,0.236391,0.133333,1.0,0.0,0.536944,1.0
reach-v3,reach-v3-expert-ep-4,expert,0.75,56,1.0,0.583446,0.0,0.583446,False,True,doomed,0.188056,0.431905,0.54465,-0.416554,0.001322,0.998678,0.0,0.0,0.476162,0.236391,0.133333,1.0,0.0,0.452893,1.0
push-v3,push-v3-expert-ep-0,expert,0.25,18,0.999999,0.277174,0.0,0.277174,False,False,at_risk,0.023892,0.151268,0.414626,-0.722825,0.045447,0.954553,1e-06,1e-06,0.261482,0.261482,0.145199,0.030493,0.0,0.05214,0.999999
push-v3,push-v3-expert-ep-0,expert,0.5,37,0.999999,0.22137,0.0,0.22137,False,False,at_risk,0.26779,0.177353,0.653931,-0.778629,0.03196,0.96804,1e-06,1e-06,0.261482,0.261482,0.145199,0.8,0.0,1.137349,0.999999
push-v3,push-v3-expert-ep-0,expert,0.75,56,0.999999,0.507642,0.0,0.507642,False,True,doomed,0.25045,0.308809,0.560392,-0.492357,0.026739,0.973261,1e-06,1e-06,0.420776,0.261482,0.145199,0.8,0.0,1.87744,0.999999
push-v3,push-v3-expert-ep-1,expert,0.25,18,0.999999,0.269802,0.0,0.269802,False,False,at_risk,0.048599,0.151996,0.410758,-0.730197,0.050208,0.949792,1e-06,1e-06,0.21457,0.21457,0.158875,0.028374,0.0,0.053642,0.999999
push-v3,push-v3-expert-ep-1,expert,0.5,37,0.999999,0.223752,0.0,0.223752,False,False,at_risk,0.280208,0.203498,0.649142,-0.776247,0.040595,0.959405,1e-06,1e-06,0.21457,0.21457,0.158875,0.8,0.0,0.818976,0.999999
push-v3,push-v3-expert-ep-1,expert,0.75,56,0.999999,0.493661,0.0,0.493661,False,True,doomed,0.250643,0.295387,0.566862,-0.506338,0.033013,0.966987,1e-06,1e-06,0.327314,0.21457,0.158875,0.8,0.0,1.780245,0.999999
push-v3,push-v3-expert-ep-2,expert,0.25,18,0.999998,0.265901,0.0,0.265901,False,False,at_risk,0.061884,0.151627,0.410057,-0.734097,0.044424,0.955576,2e-06,2e-06,0.188846,0.188846,0.170501,0.026311,0.0,0.048383,0.999998
