task_id,episode_id,policy_family,success_label,final_prefix_failure_label,final_prefix_recoverability_label,max_abs_gap,max_judge_metric,max_baseline_metric,cutoff_0p25_baseline_delta,cutoff_0p25_baseline_metric,cutoff_0p25_gap,cutoff_0p25_judge_delta,cutoff_0p25_judge_metric,cutoff_0p25_sparse_reward_signal,cutoff_0p5_baseline_delta,cutoff_0p5_baseline_metric,cutoff_0p5_gap,cutoff_0p5_judge_delta,cutoff_0p5_judge_metric,cutoff_0p5_sparse_reward_signal,cutoff_0p75_baseline_delta,cutoff_0p75_baseline_metric,cutoff_0p75_gap,cutoff_0p75_judge_delta,cutoff_0p75_judge_metric,cutoff_0p75_sparse_reward_signal
pick-place-v3,pick-place-v3-expert-ep-0,expert,False,True,doomed,0.743647,0.560068,1.0,,1.0,-0.743647,,0.256353,0.0,0.0,1.0,-0.683428,0.060219,0.316572,0.0,0.0,1.0,-0.439932,0.243496,0.560068,0.0
pick-place-v3,pick-place-v3-expert-ep-1,expert,False,True,doomed,0.719691,0.590002,1.0,,1.0,-0.719691,,0.280309,0.0,0.0,1.0,-0.693635,0.026056,0.306365,0.0,0.0,1.0,-0.409998,0.283637,0.590002,0.0
pick-place-v3,pick-place-v3-expert-ep-2,expert,False,True,doomed,0.717872,0.580035,1.0,,1.0,-0.717872,,0.282128,0.0,0.0,1.0,-0.680983,0.036889,0.319017,0.0,0.0,1.0,-0.419965,0.261018,0.580035,0.0
pick-place-v3,pick-place-v3-expert-ep-3,expert,False,True,doomed,0.754541,0.566587,1.0,,1.0,-0.754541,,0.245459,0.0,0.0,1.0,-0.685941,0.0686,0.314059,0.0,0.0,1.0,-0.433413,0.252528,0.566587,0.0
pick-place-v3,pick-place-v3-expert-ep-4,expert,False,True,doomed,0.711708,0.544467,1.0,,1.0,-0.711708,,0.288292,0.0,0.0,1.0,-0.704131,0.007577,0.295869,0.0,0.0,1.0,-0.455533,0.248598,0.544467,0.0
pick-place-v3,pick-place-v3-misleading-ep-0,misleading,False,False,at_risk,0.755075,0.374032,1.0,,1.0,-0.755075,,0.244925,0.0,0.0,1.0,-0.751248,0.003827,0.248752,0.0,0.0,1.0,-0.625968,0.12528,0.374032,0.0
pick-place-v3,pick-place-v3-misleading-ep-1,misleading,False,True,doomed,0.762094,0.425158,1.0,,1.0,-0.762094,,0.237906,0.0,0.0,1.0,-0.714519,0.047575,0.285481,0.0,0.0,1.0,-0.574842,0.139677,0.425158,0.0
pick-place-v3,pick-place-v3-misleading-ep-2,misleading,False,True,doomed,0.735595,0.425038,1.0,,1.0,-0.735595,,0.264405,0.0,0.0,1.0,-0.714737,0.020858,0.285263,0.0,0.0,1.0,-0.574962,0.139775,0.425038,0.0
pick-place-v3,pick-place-v3-misleading-ep-3,misleading,False,False,at_risk,0.741538,0.408184,1.0,,1.0,-0.741538,,0.258462,0.0,0.0,1.0,-0.726619,0.014919,0.273381,0.0,0.0,1.0,-0.591816,0.134803,0.408184,0.0
pick-place-v3,pick-place-v3-misleading-ep-4,misleading,False,False,at_risk,0.740208,0.411841,1.0,,1.0,-0.740208,,0.259792,0.0,0.0,1.0,-0.724055,0.016153,0.275945,0.0,0.0,1.0,-0.588159,0.135896,0.411841,0.0
push-v3,push-v3-expert-ep-0,expert,False,True,doomed,0.778629,0.507642,0.999999,,0.999999,-0.722825,,0.277174,0.0,0.0,0.999999,-0.778629,-0.055804,0.22137,0.0,0.0,0.999999,-0.492357,0.286272,0.507642,0.0
push-v3,push-v3-expert-ep-1,expert,False,True,doomed,0.776247,0.493661,0.999999,,0.999999,-0.730197,,0.269802,0.0,0.0,0.999999,-0.776247,-0.04605,0.223752,0.0,0.0,0.999999,-0.506338,0.269909,0.493661,0.0
push-v3,push-v3-expert-ep-2,expert,False,True,doomed,0.783351,0.509484,0.999998,,0.999998,-0.734097,,0.265901,0.0,0.0,0.999998,-0.783351,-0.049254,0.216647,0.0,0.0,0.999998,-0.490514,0.292837,0.509484,0.0
push-v3,push-v3-expert-ep-3,expert,False,True,doomed,0.791533,0.521526,0.999998,,0.999998,-0.736723,,0.263275,0.0,0.0,0.999998,-0.791533,-0.05481,0.208465,0.0,0.0,0.999998,-0.478472,0.313061,0.521526,0.0
push-v3,push-v3-expert-ep-4,expert,False,True,doomed,0.775076,0.466365,0.999999,,0.999999,-0.738408,,0.261591,0.0,0.0,0.999999,-0.775076,-0.036668,0.224923,0.0,0.0,0.999999,-0.533634,0.241442,0.466365,0.0
push-v3,push-v3-misleading-ep-0,misleading,False,False,at_risk,0.753974,0.330111,0.999999,,0.999999,-0.753974,,0.246025,0.0,0.0,0.999999,-0.721578,0.032396,0.278421,0.0,0.0,0.999999,-0.669888,0.05169,0.330111,0.0
push-v3,push-v3-misleading-ep-1,misleading,False,True,doomed,0.747115,0.350323,0.999999,,0.999999,-0.747115,,0.252884,0.0,0.0,0.999999,-0.707147,0.039968,0.292852,0.0,0.0,0.999999,-0.649676,0.057471,0.350323,0.0
push-v3,push-v3-misleading-ep-2,misleading,False,True,doomed,0.745509,0.359902,1.0,,1.0,-0.745509,,0.254491,0.0,0.0,1.0,-0.70524,0.040269,0.29476,0.0,0.0,1.0,-0.640098,0.065142,0.359902,0.0
push-v3,push-v3-misleading-ep-3,misleading,False,True,doomed,0.736274,0.375141,1.0,,1.0,-0.736274,,0.263726,0.0,0.0,1.0,-0.693013,0.043261,0.306987,0.0,0.0,1.0,-0.624859,0.068154,0.375141,0.0
push-v3,push-v3-misleading-ep-4,misleading,False,True,doomed,0.754669,0.337936,0.999999,,0.999999,-0.754669,,0.24533,0.0,0.0,0.999999,-0.71707,0.037599,0.282929,0.0,0.0,0.999999,-0.662063,0.055007,0.337936,0.0
reach-v3,reach-v3-expert-ep-0,expert,False,True,doomed,0.76764,0.562125,1.0,,1.0,-0.76764,,0.23236,0.0,0.0,1.0,-0.585081,0.182559,0.414919,0.0,0.0,1.0,-0.437875,0.147206,0.562125,0.0
reach-v3,reach-v3-expert-ep-1,expert,False,True,doomed,0.803784,0.517098,1.0,,1.0,-0.803784,,0.196216,0.0,0.0,1.0,-0.629629,0.174155,0.370371,0.0,0.0,1.0,-0.482902,0.146727,0.517098,0.0
reach-v3,reach-v3-expert-ep-2,expert,False,True,doomed,0.797659,0.529128,1.0,,1.0,-0.797659,,0.202341,0.0,0.0,1.0,-0.617818,0.179841,0.382182,0.0,0.0,1.0,-0.470872,0.146946,0.529128,0.0
reach-v3,reach-v3-expert-ep-3,expert,False,True,doomed,0.805788,0.518111,1.0,,1.0,-0.805788,,0.194212,0.0,0.0,1.0,-0.628756,0.177032,0.371244,0.0,0.0,1.0,-0.481889,0.146867,0.518111,0.0
reach-v3,reach-v3-expert-ep-4,expert,False,True,doomed,0.745232,0.583446,1.0,,1.0,-0.745232,,0.254768,0.0,0.0,1.0,-0.564105,0.181127,0.435895,0.0,0.0,1.0,-0.416554,0.147551,0.583446,0.0
reach-v3,reach-v3-misleading-ep-0,misleading,False,True,doomed,0.751769,0.578165,1.0,,1.0,-0.751769,,0.248231,0.0,0.0,1.0,-0.568634,0.183135,0.431366,0.0,0.0,1.0,-0.421835,0.146799,0.578165,0.0
reach-v3,reach-v3-misleading-ep-1,misleading,False,True,doomed,0.765179,0.564594,1.0,,1.0,-0.765179,,0.234821,0.0,0.0,1.0,-0.583392,0.181787,0.416608,0.0,0.0,1.0,-0.435406,0.147986,0.564594,0.0
reach-v3,reach-v3-misleading-ep-2,misleading,False,True,doomed,0.764445,0.564474,1.0,,1.0,-0.764445,,0.235555,0.0,0.0,1.0,-0.582669,0.181776,0.417331,0.0,0.0,1.0,-0.435526,0.147143,0.564474,0.0
reach-v3,reach-v3-misleading-ep-3,misleading,False,True,doomed,0.774406,0.556292,1.0,,1.0,-0.774406,,0.225594,0.0,0.0,1.0,-0.591216,0.18319,0.408784,0.0,0.0,1.0,-0.443708,0.147508,0.556292,0.0
reach-v3,reach-v3-misleading-ep-4,misleading,False,True,doomed,0.783173,0.545085,1.0,,1.0,-0.783173,,0.216827,0.0,0.0,1.0,-0.601552,0.181621,0.398448,0.0,0.0,1.0,-0.454915,0.146637,0.545085,0.0
