task_id,episode_id,policy_family,prefix_cutoff,prefix_index,baseline_metric,judge_metric,sparse_reward_signal,judge_signal,success_label,prefix_failure_label,prefix_recoverability_label,judge_on_track_score,judge_implausibility_score,judge_uncertainty_score,baseline_vs_judge_gap,latent_mismatch_score,latent_alignment_score,progress_proxy,distance_progress,target_distance_last,target_distance_best,in_place_score,grasp_signal_peak,success_signal_peak,reward_density,stall_score
reach-v3,reach-v3-expert-ep-0,expert,0.25,18,1.0,0.234667,0.0,0.234667,False,False,at_risk,0.197429,0.338463,0.633689,-0.765333,0.02855,0.97145,0.0,0.0,0.458104,0.286942,0.128313,1.0,0.0,0.815701,1.0
reach-v3,reach-v3-expert-ep-0,expert,0.5,37,1.0,0.415273,0.0,0.415273,False,True,doomed,0.19696,0.394836,0.584174,-0.584727,0.011468,0.988532,0.0,0.0,0.520616,0.286942,0.128313,1.0,0.0,0.592599,1.0
reach-v3,reach-v3-expert-ep-0,expert,0.75,56,1.0,0.562935,0.0,0.562935,False,True,doomed,0.19638,0.407288,0.551499,-0.437065,0.001344,0.998656,0.0,0.0,0.526971,0.286942,0.128313,1.0,0.0,0.51159,1.0
push-v3,push-v3-expert-ep-0,expert,0.25,18,0.999891,0.264463,0.0,0.264463,False,False,at_risk,0.070789,0.152689,0.411259,-0.735428,0.051104,0.948896,0.000109,0.000109,0.171301,0.171295,0.181407,0.026344,0.0,0.050154,0.999891
push-v3,push-v3-expert-ep-0,expert,0.5,37,0.999886,0.221233,0.0,0.221233,False,False,at_risk,0.295216,0.22104,0.643248,-0.778653,0.041465,0.958535,0.000114,0.000114,0.171308,0.171294,0.181409,0.8,0.0,0.673137,0.999886
push-v3,push-v3-expert-ep-0,expert,0.75,56,0.999886,0.489028,0.0,0.489028,False,True,doomed,0.261988,0.297668,0.561776,-0.510858,0.034802,0.965198,0.000114,0.000114,0.280142,0.171294,0.181409,0.8,0.0,1.719592,0.999886
pick-place-v3,pick-place-v3-expert-ep-0,expert,0.25,18,1.0,0.17825,0.0,0.17825,False,False,at_risk,0.149989,0.329628,0.70595,-0.82175,0.056973,0.943027,0.0,0.0,0.315663,0.315293,0.135577,0.393521,0.0,0.033745,1.0
pick-place-v3,pick-place-v3-expert-ep-0,expert,0.5,37,1.0,0.322073,0.0,0.322073,False,False,at_risk,0.224926,0.351785,0.621788,-0.677927,0.035225,0.964775,0.0,0.0,0.348846,0.315293,0.135577,1.0,0.0,0.078722,1.0
pick-place-v3,pick-place-v3-expert-ep-0,expert,0.75,56,1.0,0.546312,0.0,0.546312,False,True,doomed,0.225473,0.429324,0.551267,-0.453688,0.016251,0.983749,0.0,0.0,0.468723,0.315293,0.135577,1.0,0.0,0.075859,1.0
reach-v3,reach-v3-misleading-ep-0,misleading,0.25,18,1.0,0.247049,0.0,0.247049,False,False,at_risk,0.19158,0.357055,0.630829,-0.752951,0.028552,0.971448,0.0,0.0,0.447609,0.27236,0.121493,1.0,0.0,0.742594,1.0
reach-v3,reach-v3-misleading-ep-0,misleading,0.5,37,1.0,0.426848,0.0,0.426848,False,True,doomed,0.19167,0.411112,0.581742,-0.573152,0.011536,0.988464,0.0,0.0,0.509615,0.27236,0.121493,1.0,0.0,0.532276,1.0
reach-v3,reach-v3-misleading-ep-0,misleading,0.75,56,1.0,0.574706,0.0,0.574706,False,True,doomed,0.191348,0.422847,0.549164,-0.425294,0.001404,0.998596,0.0,0.0,0.516114,0.27236,0.121493,1.0,0.0,0.45624,1.0
push-v3,push-v3-misleading-ep-0,misleading,0.25,18,0.999888,0.248628,0.0,0.248628,False,False,at_risk,0.07365,0.14719,0.399276,-0.75126,0.02621,0.97379,0.000112,0.000112,0.191838,0.191824,0.168951,0.027477,0.0,0.053678,0.999888
push-v3,push-v3-misleading-ep-0,misleading,0.5,37,0.999888,0.282383,0.0,0.282383,False,False,at_risk,0.088375,0.14018,0.367817,-0.717505,0.006924,0.993076,0.000112,0.000112,0.19185,0.191824,0.168951,0.103169,0.0,0.074787,0.999888
push-v3,push-v3-misleading-ep-0,misleading,0.75,56,0.999888,0.335691,0.0,0.335691,False,True,doomed,0.090289,0.139173,0.338191,-0.664197,0.001679,0.998321,0.000112,0.000112,0.191855,0.191824,0.168951,0.103169,0.0,0.074548,0.999888
pick-place-v3,pick-place-v3-misleading-ep-0,misleading,0.25,18,1.0,0.267438,0.0,0.267438,False,False,at_risk,0.015475,0.1511,0.408238,-0.732562,0.026112,0.973888,0.0,0.0,0.328801,0.328519,0.133825,0.047778,0.0,0.029483,1.0
pick-place-v3,pick-place-v3-misleading-ep-0,misleading,0.5,37,1.0,0.279665,0.0,0.279665,False,False,at_risk,0.228388,0.314275,0.635055,-0.720335,0.009853,0.990147,0.0,0.0,0.3288,0.328519,0.133825,0.979231,0.0,0.074873,1.0
pick-place-v3,pick-place-v3-misleading-ep-0,misleading,0.75,56,1.0,0.419756,0.0,0.419756,False,True,doomed,0.23042,0.310576,0.605782,-0.580244,0.002224,0.997776,0.0,0.0,0.328803,0.328519,0.133825,0.979231,0.0,0.089378,1.0
